Date,Electricity
Jan-73,75190.149
Feb-73,67797.946
Mar-73,67387.612
Apr-73,63935.049
May-73,64927.181
Jun-73,69592.039
Jul-73,75988.308
Aug-73,78365.191
Sep-73,71304.493
Oct-73,70104.344
Nov-73,69706.997
Dec-73,73352.161
Jan-74,73631.774
Feb-74,66116.767
Mar-74,67746.788
Apr-74,62866.281
May-74,67789.4
Jun-74,67470.507
Jul-74,76361.27
Aug-74,74759.54
Sep-74,65266.997
Oct-74,66953.772
Nov-74,66996.029
Dec-74,72473.794
Jan-75,74836.043
Feb-75,67285.094
Mar-75,69176.492
Apr-75,64453.298
May-75,64741.073
Jun-75,70346.207
Jul-75,76294.723
Aug-75,78882.011
Sep-75,68558.859
Oct-75,69042.72
Nov-75,70424.195
Dec-75,78745.507
Jan-76,83690.963
Feb-76,73516.196
Mar-76,76553.69
Apr-76,72559.403
May-76,72499.188
Jun-76,76925.845
Jul-76,83279.641
Aug-76,84206.526
Sep-76,75369.701
Oct-76,76932.19
Nov-76,81668.738
Dec-76,87188.912
Jan-77,89829.161
Feb-77,78734.95
Mar-77,77492.179
Apr-77,70866.254
May-77,77049.033
Jun-77,83116.515
Jul-77,92372.785
Aug-77,90730.454
Sep-77,82564.552
Oct-77,79382.484
Nov-77,79467.834
Dec-77,83612.396
Jan-78,85005.951
Feb-78,70569.646
Mar-78,66623.494
Apr-78,70327.333
May-78,76431.711
Jun-78,84033.019
Jul-78,89606.31
Aug-78,93429.682
Sep-78,87041.271
Oct-78,82082.993
Nov-78,81727.362
Dec-78,88863.313
Jan-79,94985.712
Feb-79,84747.823
Mar-79,85219.537
Apr-79,80450.173
May-79,86149.298
Jun-79,90817.26
Jul-79,97879.473
Aug-79,97910.027
Sep-79,85664.344
Oct-79,87527.612
Nov-79,87455.783
Dec-79,96230.048
Jan-80,103257.677
Feb-80,98150.804
Mar-80,95386.178
Apr-80,83561.813
May-80,84884.262
Jun-80,93691.765
Jul-80,108456.913
Aug-80,107579.936
Sep-80,97556.952
Oct-80,91196.02
Nov-80,93500.667
Dec-80,104339.38
Jan-81,111764.813
Feb-81,97653.289
Mar-81,99482.128
Apr-81,88109.349
May-81,88940.698
Jun-81,99837.068
Jul-81,112853.683
Aug-81,108402.855
Sep-81,97663.878
Oct-81,97046.239
Nov-81,94841.001
Dec-81,106608.232
Jan-82,113123.631
Feb-82,96905.528
Mar-82,97625.094
Apr-82,88115.664
May-82,92997.402
Jun-82,95313.637
Jul-82,110617.225
Aug-82,110124.075
Sep-82,96895.697
Oct-82,93769.09
Nov-82,95547.275
Dec-82,100969.888
Jan-83,108164.265
Feb-83,92691.602
Mar-83,95598.248
Apr-83,88113.755
May-83,91296.386
Jun-83,101512.015
Jul-83,121560.33
Aug-83,129312.743
Sep-83,108867.586
Oct-83,101951.282
Nov-83,103225.255
Dec-83,117130.811
Jan-84,120850.261
Feb-84,104706.39
Mar-84,111157.719
Apr-84,97541.501
May-84,100138.89
Jun-84,115425.514
Jul-84,121094.329
Aug-84,127743.902
Sep-84,108861.54
Oct-84,110800.527
Nov-84,109759.28
Dec-84,113600.9
Jan-85,129092.471
Feb-85,112036.83
Mar-85,111390.703
Apr-85,104790.423
May-85,111514.668
Jun-85,115583.004
Jul-85,128880.144
Aug-85,126549.659
Sep-85,114630.253
Oct-85,111053.345
Nov-85,108814.643
Dec-85,127791.979
Jan-86,130189.924
Feb-86,110982.428
Mar-86,110389.796
Apr-86,98995.106
May-86,104900.302
Jun-86,120153.987
Jul-86,136653.936
Aug-86,123617.62
Sep-86,113957.353
Oct-86,108583.774
Nov-86,109045.451
Dec-86,118361.775
Jan-87,126630.512
Feb-87,109647.934
Mar-87,111920.394
Apr-87,105474.356
May-87,115155.284
Jun-87,129350.599
Jul-87,143502.911
Aug-87,143194.312
Sep-87,120777.103
Oct-87,117742.848
Nov-87,114171.65
Dec-87,126213.387
Jan-88,137845.293
Feb-88,126267.376
Mar-88,120033.644
Apr-88,109135.472
May-88,115195.008
Jun-88,132267.995
Jul-88,144301.353
Aug-88,152376.525
Sep-88,124409.811
Oct-88,121339.387
Nov-88,121053.811
Dec-88,136427.1
Jan-89,135938.512
Feb-89,127899.361
Mar-89,127435.17
Apr-89,116097.898
May-89,119774.96
Jun-89,129335.273
Jul-89,139415.012
Aug-89,142696.276
Sep-89,127608.668
Oct-89,123078.513
Nov-89,125034.968
Dec-89,148051.586
Jan-90,133686.091
Feb-90,117001.605
Mar-90,124125.711
Apr-90,118200.1
May-90,120745.756
Jun-90,133687.425
Jul-90,145515.887
Aug-90,148485.949
Sep-90,136579.089
Oct-90,131225.899
Nov-90,124997.073
Dec-90,137858.337
Jan-91,143562.504
Feb-91,119210.811
Mar-91,119714.862
Apr-91,113699.175
May-91,125318.569
Jun-91,133467.95
Jul-91,145637.952
Aug-91,145837.257
Sep-91,130613.061
Oct-91,126953.34
Nov-91,130596.968
Dec-91,134233.187
Jan-92,139227.837
Feb-92,123416.887
Mar-92,129445.831
Apr-92,121568.769
May-92,125481.368
Jun-92,131401.47
Jul-92,151091.554
Aug-92,143864.578
Sep-92,135083.413
Oct-92,129711.159
Nov-92,127272.642
Dec-92,140148.311
Jan-93,140574.907
Feb-93,132156.545
Mar-93,138593.548
Apr-93,122256.561
May-93,122818.533
Jun-93,139692.512
Jul-93,160942.87
Aug-93,158704.143
Sep-93,136152.113
Oct-93,133028.088
Nov-93,134411.994
Dec-93,146132.338
Jan-94,155627.101
Feb-94,133605.869
Mar-94,136041.525
Apr-94,122009.284
May-94,128833.659
Jun-94,150215.334
