zip,98134
sector,Consumer Cyclical
fullTimeEmployees,349000
longBusinessSummary,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: Americas, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole bean and ground coffees, single-serve and ready-to-drink beverages, and iced tea; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brand names. As of October 29, 2020, it operated approximately 32,000 stores. Starbucks Corporation was founded in 1971 and is based in Seattle, Washington."
city,Seattle
phone,206 447 1575
state,WA
country,United States
companyOfficers,[]
website,http://www.starbucks.com
maxAge,1
address1,2401 Utah Avenue South
industry,Restaurants
ebitdaMargins,0.20238
profitMargins,0.104270004
grossMargins,0.28152
operatingCashflow,5959099904
revenueGrowth,0.776
operatingMargins,0.14613
ebitda,5488099840
targetLowPrice,95
recommendationKey,buy
grossProfits,5141100000
freeCashflow,3962425088
targetMedianPrice,130.7
currentPrice,112.92
earningsGrowth,
currentRatio,1.017
returnOnAssets,0.0845
numberOfAnalystOpinions,32
targetMeanPrice,130.07
debtToEquity,
returnOnEquity,
targetHighPrice,148
totalCash,4906699776
totalDebt,23527600128
totalRevenue,27117000704
totalCashPerShare,4.161
financialCurrency,USD
revenuePerShare,23.071
quickRatio,0.775
recommendationMean,2.2
exchange,NMS
shortName,Starbucks Corporation
longName,Starbucks Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,SBUX
messageBoardId,finmb_34745
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,5.597
beta3Year,
enterpriseToEbitda,27.655
52WeekChange,0.27636492
morningStarRiskRating,
forwardEps,3.73
revenueQuarterlyGrowth,
sharesOutstanding,1179100032
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,-5.768
sharesShort,10948320
sharesPercentSharesOut,0.0093
fundFamily,
lastFiscalYearEnd,1601164800
heldPercentInstitutions,0.70712996
netIncomeToCommon,2827500032
trailingEps,2.402
lastDividendValue,
SandP52WeekChange,0.26372707
priceToBook,
heldPercentInsiders,0.00169
nextFiscalYearEnd,1664236800
yield,
mostRecentQuarter,1624752000
shortRatio,2.23
sharesShortPreviousMonthDate,1628812800
floatShares,1176930456
beta,0.879365
enterpriseValue,151771365376
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,4.9099813
dateShortInterest,1631664000
pegRatio,0.66
ytdReturn,
forwardPE,30.273458
lastCapGain,
shortPercentOfFloat,0.0093
sharesShortPriorMonth,8102453
impliedSharesOutstanding,
category,
fiveYearAverageReturn,
previousClose,110.31
regularMarketOpen,110.89
twoHundredDayAverage,114.54384
trailingAnnualDividendYield,0.01631765
payoutRatio,0.73330003
volume24Hr,
regularMarketDayHigh,113.46
navPrice,
averageDailyVolume10Day,4911658
regularMarketPreviousClose,110.31
fiftyDayAverage,115.234116
trailingAnnualDividendRate,1.8
open,110.89
toCurrency,
averageVolume10days,4911658
expireDate,
algorithm,
dividendRate,1.96
exDividendDate,1636502400
circulatingSupply,
startDate,
regularMarketDayLow,110.55
currency,USD
trailingPE,47.010826
regularMarketVolume,5636865
lastMarket,
maxSupply,
openInterest,
marketCap,133143969792
volumeAllCurrencies,
strikePrice,
averageVolume,5557840
dayLow,110.55
ask,112.56
askSize,900
volume,5636865
fiftyTwoWeekHigh,126.32
fromCurrency,
fiveYearAvgDividendYield,1.8
fiftyTwoWeekLow,85.45
bid,112.09
tradeable,False
dividendYield,0.0174
bidSize,800
dayHigh,113.46
regularMarketPrice,112.92
logo_url,https://logo.clearbit.com/starbucks.com
