YYYYMM,Value
197301,72.076
197302,64.442
197303,64.084
197304,60.842
197305,61.798
197306,66.538
197307,72.626
197308,75.181
197309,68.397
197310,67.668
197311,67.021
197312,71.118
197401,70.55
197402,62.929
197403,64.519
197404,60.544
197405,64.687
197406,64.736
197407,73.698
197408,72.559
197409,63.221
197410,65.418
197411,65.593
197412,71.677
197501,72.708
197502,65.117
197503,66.532
197504,61.975
197505,62.031
197506,67.875
197507,74.184
197508,77.029
197509,66.156
197510,66.651
197511,67.625
197512,75.857
197601,81.264
197602,71.058
197603,73.361
197604,68.703
197605,68.985
197606,73.936
197607,80.968
197608,81.962
197609,72.95
197610,74.746
197611,78.924
197612,84.49
197701,87.215
197702,75.943
197703,75.092
197704,68.641
197705,74.916
197706,80.942
197707,90.667
197708,89.046
197709,80.975
197710,77.369
197711,78.058
197712,83.279
197801,85.191
197802,71.476
197803,67.829
197804,69.051
197805,74.201
197806,81.372
197807,88.003
197808,91.836
197809,85.066
197810,79.494
197811,79.291
197812,87.107
197901,93.946
197902,83.91
197903,83.689
197904,78.077
197905,83.19
197906,88.15
197907,96.579
197908,97.246
197909,84.463
197910,86.071
197911,86.09
197912,94.293
198001,100.568
198002,94.862
198003,93.21
198004,81.245
198005,82.785
198006,91.484
198007,107.126
198008,106.245
198009,95.662
198010,90.03
198011,91.239
198012,102.138
198101,108.164
198102,94.766
198103,95.724
198104,86.386
198105,89.002
198106,99.05
198107,111.044
198108,107.758
198109,95.891
198110,94.541
198111,92.986
198112,105.056
198201,113.136
198202,97.313
198203,95.335
198204,86.587
198205,90.83
198206,94.419
198207,109.995
198208,109.179
198209,96.39
198210,92.24
198211,95.165
198212,101.367
198301,105.965
198302,90.912
198303,93.568
198304,86.575
198305,90.75
198306,99.98
198307,119.945
198308,126.652
198309,107.675
198310,100.677
198311,101.663
198312,117.417
198401,119.436
198402,103.635
198403,108.149
198404,94.329
198405,98.181
198406,112.983
198407,119.701
198408,125.724
198409,107.179
198410,108.583
198411,107.546
198412,112.167
198501,125.429
198502,109.359
198503,107.966
198504,100.317
198505,107.595
198506,113.584
198507,126.626
198508,124.309
198509,111.9
198510,108.331
198511,107.034
198512,124.95
198601,126.887
198602,109.086
198603,106.803
198604,95.341
198605,101.892
198606,116.698
198607,134.789
198608,122.28
198609,112.03
198610,107.235
198611,107.317
198612,117.127
198701,124.043
198702,106.754
198703,108.607
198704,102.222
198705,112.257
198706,126.2
198707,140.582
198708,139.268
198709,117.773
198710,113.515
198711,111.217
198712,124.314
198801,133.468
198802,120.783
198803,115.584
198804,106.49
198805,111.2
198806,128.537
198807,141.139
198808,148.031
198809,121.057
198810,117.165
198811,116.659
198812,131.695
198901,132.233
198902,124.345
198903,122.803
198904,111.194
198905,115.915
198906,126.031
198907,138.083
198908,139.614
198909,124.594
198910,119.943
198911,120.824
198912,143.264
199001,132.923
199002,116.26
199003,121.806
199004,115.909
199005,118.556
199006,130.719
199007,143.146
199008,146.257
199009,134.042
199010,128.8
199011,122.119
199012,137.027
199101,143.148
199102,117.505
