rank,△pub,Team Name,Notebook,Team Members,Score,Entries,Last
1,1039,I hate this competition,, ,0.62174,17,1mo
2,595,Minh Phan,, ,0.61881,28,2mo
3,676,Cedric Soares,[TF]EfficientNet transfer learning strat split, ,0.61732,9,4d
4,469,Leaky Folds,,  ,0.61562,124,1mo
5,759,random,, ,0.60751,5,17d
6,428,Train4Ever,,     ,0.60696,196,3d
7,1209,Igor Lashkov,, ,0.60394,1,2mo
8,1376,ArturHugo,, ,0.60322,12,1mo
9,614,'till my brain collapse,, ,0.60186,10,3d
10,29,Rishiraj Acharya,,  ,0.60152,7,6d
11,883,Taki,, ,0.60152,4,8d
12,989,Gunes Evitan,,  ,0.60135,53,3d
13,695,sea of stars,, ,0.60096,12,1mo
14,607,Vysakh Nair,, ,0.60054,25,2mo
15,762,funkyboy,, ,0.60054,4,11d
16,699,Firdows,, ,0.60028,31,10d
17,1071,pongba,, ,0.59931,1,3mo
18,475,atfujita,, ,0.59878,80,14d
19,585,yangLy,, ,0.5985,17,3mo
20,476,Bruce Young,, ,0.59846,35,3d
21,700,kelian20,, ,0.59807,10,1mo
22,942,Kemist,, ,0.59595,1,2mo
23,925,Ranafago,, ,0.59595,12,2mo
24,942,QuantumDamage,, ,0.59595,2,2mo
25,524,HAaHAa,, ,0.5954,9,1mo
26,487,Roland Luethy,, ,0.59531,129,23d
27,576,Sis Fis,, ,0.59531,4,2mo
28,384,Dovel Technologies,,     ,0.59459,114,3d
29,423,ntl,,  ,0.5928,43,4d
30,1275,ImBczVr,, ,0.59266,1,4d
31,98,Susung Hong,, ,0.59234,34,7d
32,427,Amine Bennouna,, ,0.59204,12,2mo
33,1008,manoj,, ,0.5917,8,23d
34,655,israelzinc,, ,0.59138,1,2mo
35,1152,hosna,, ,0.59098,1,23d
36,675,idroid,, ,0.59064,9,1mo
37,772,sua lee,, ,0.59045,3,2mo
38,460,Jiayuan Zhu,,  ,0.59038,56,10d
39,383,Carl McBride Ellis,, ,0.59038,14,20d
40,865,LéonTheProfessional,, ,0.59021,22,1mo
41,606,P.AI.R,, ,0.58936,2,20d
42,1307,pinkaxe,, ,0.58932,2,2mo
43,1073,Kazuki Shiraishi,, ,0.58915,3,3mo
44,974,4016,,   ,0.58902,26,1mo
45,672,H_Moriya,, ,0.58843,21,15d
46,373,TigerDuck,,     ,0.58834,228,16d
47,389,ismael kaissy,, ,0.58826,73,12d
48,413,Lopamudra Nayak,, ,0.58664,6,2mo
49,945,MDFam,, ,0.58654,7,3d
50,703,GRAN Team,,    ,0.58647,5,8d
51,545,CSMJ,,    ,0.58622,11,2mo
52,558,Yash Vadi,, ,0.58592,19,2mo
53,738,Clifford Chua,, ,0.58584,15,2mo
54,1234,tamano-Ohara,, ,0.58584,1,1mo
55,1232,I Igor,, ,0.58567,3,2mo
56,336,xuwuu,, ,0.58524,3,23d
57,427,Tung Shu-Cheng,, ,0.5849,33,1mo
58,379,Tiao Can Xia,,   ,0.58456,13,1mo
59,1076,Sdilshad,, ,0.58452,2,24d
60,1198,Favian Hatje,, ,0.58452,2,4d
61,959,Buket Darıcı,, ,0.58439,1,2mo
62,304,Foodboyz,, ,0.58431,24,11d
63,964,Thor Odinson #2,, ,0.58371,5,13d
64,731,Zavieton,, ,0.5832,31,5d
65,972,Kaoru Sasakawa,, ,0.58303,10,3mo
66,693,greylord1996,, ,0.58295,17,8d
67,916,Kaneel Senevirathne,, ,0.58288,38,1mo
68,937,kulverstukas,, ,0.58278,64,5d
69,621,ynhuhu,,  ,0.58273,63,18d
70,388,AD,, ,0.58214,19,2mo
71,1052,Henry Javier,, ,0.58201,1,1mo
72,663,Alehandreus,, ,0.58197,10,2mo
73,431,datasmurfs,,  ,0.58188,44,4d
74,18,yukiZ,, ,0.58182,72,3d
75,907,Arnab Saha,, ,0.58178,25,2mo
76,885,vmri,, ,0.5815,4,2mo
77,8,Wai Wai,,     ,0.5815,94,4d
78,629,Chansocheat Tieng,, ,0.58137,8,1mo
79,536,Christopher Sham,, ,0.5812,5,2mo
80,918,Karl Malone21,, ,0.58103,4,3mo
81,783,Shrijeet16,, ,0.58099,4,1mo
82,1182,Soonhwan Kwon,, ,0.58095,2,3mo
83,904,João Louro,, ,0.58086,3,2mo
84,1289,gonzo3832,BT_002_modeEF3D_patience3, ,0.58074,2,1mo
85,72,dlrgy22,, ,0.58035,207,3d
86,1035,Shaheryar,, ,0.5801,2,2mo
87,1035,vdail-brats-gogo,,   ,0.5801,3,1mo
88,60,NCU_ChenBin,,  ,0.5801,33,4d
89,602,Craig Wickizer,, ,0.58001,7,2mo
90,440,ts,, ,0.58001,5,2mo
91,451,swimmy,, ,0.58001,21,2mo
92,506,Schweizerisch,, ,0.57993,27,23d
93,453,EEIC2021,,   ,0.57989,37,5d
94,619,Leander Meinken,, ,0.57984,4,8d
95,893,Vasiliy,, ,0.5798,5,1mo
96,352,Jahnavi A,, ,0.5798,25,4d
97,674,kazu _02,, ,0.57972,14,1mo
98,1094,bwnzheng,, ,0.57972,3,21d
99,420,Haithem Gasmi,, ,0.57967,22,2mo
100,606,kimvc7,, ,0.57963,5,2mo
101,642,Takashi Matsushita,, ,0.57961,29,5d
102,1079,dungeon masters,,   ,0.57959,9,20d
103,627,Krish Vanapalli,, ,0.57946,34,3d
104,676,shin2,, ,0.57929,16,3d
105,1034,pretrained pickle,,  ,0.57908,5,2mo
106,866,tavuskus,, ,0.57904,5,2mo
107,568,Adana ina,, ,0.57904,63,9d
108,863,Jinman Park,, ,0.57874,3,2mo
109,484,Adam Hsieh,, ,0.57865,54,2mo
110,982,Beginnerdesu,, ,0.57836,15,4d
111,851,Ridouane Ghermi,, ,0.5781,14,3d
112,90,cvPlayer,, ,0.5781,256,8d
113,504,Kaveh Shahhosseini,, ,0.57806,24,13d
